#EXP	Mon Oct 21 23:47:36 2013
Przyk³adowy pierwszy ekran eksperymentu
"X"	"Y"	"TIME"	"CLICK"	
960	540	0	0
960	518	0.1	0
960	518	0.2	0
960	518	0.3	0
960	518	0.4	0
960	518	0.5	0
960	518	0.6	0
960	518	0.7	0
960	518	0.8	0
960	518	0.9	0
960	518	1	0
960	518	1.1	0
960	518	1.2	0
960	518	1.3	0
960	518	1.4	0
960	518	1.5	0
960	518	1.6	0
960	518	1.7	0
960	518	1.8	0
960	518	1.9	0
960	518	2	0
960	518	2.1	0
960	518	2.2	0
960	518	2.3	0
960	518	2.4	0
960	518	2.5	0
960	518	2.6	0
960	518	2.7	0
960	518	2.8	0
960	518	2.9	0
960	518	3	0
960	518	3.1	0
960	518	3.2	0
960	518	3.3	0
960	518	3.4	0
960	518	3.5	0
960	518	3.6	0
960	518	3.7	0
960	518	3.8	0
960	518	3.9	0
960	518	4	0
960	518	4.1	0
960	518	4.2	0
960	518	4.3	0
960	518	4.4	0
960	518	4.5	0
960	518	4.6	0
960	518	4.7	0
960	518	4.8	0
960	518	4.9	0
960	518	5	0
960	518	5.1	0
960	518	5.2	0
960	518	5.3	0
960	518	5.4	0
960	518	5.5	0
960	518	5.6	0
960	518	5.7	0
960	518	5.8	0
960	518	5.9	0
960	518	6	0
960	518	6.1	0
960	518	6.2	0
960	518	6.3	0
960	518	6.4	0
960	518	6.5	0
960	518	6.6	0
960	518	6.7	0
960	518	6.8	0
960	518	6.9	0
960	518	7	0
960	518	7.1	0
960	518	7.2	0
960	518	7.3	0
960	518	7.4	0
960	518	7.5	0
960	518	7.6	0
960	518	7.7	0
960	518	7.8	0
960	518	7.9	0
960	518	8	0
960	518	8.1	0
960	518	8.2	0
960	518	8.3	0
960	518	8.4	0
